TURCK,,PT60PSIG-2003-I2-H1141,Датчик давления TURCK PT60PSIG-2003-I2-H1141,100006048,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt60psig_2003_i2_h1141/,ce517fda.html
TURCK,,PT600R-2003-I2-H1141,Датчик давления TURCK PT600R-2003-I2-H1141,100006050,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt600r_2003_i2_h1141/,792e374d.html
TURCK,,PT24V-1003-I2-DA91,Датчик давления TURCK PT24V-1003-I2-DA91,100004464,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt24v_1003_i2_da91/,445b7a08.html
TURCK,,PT16R-1001-I2-CM2.0,Датчик давления TURCK PT16R-1001-I2-CM2.0,100005752,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt16r_1001_i2_cm2_0/,1e10ed9a.html
TURCK,,PT5000PSIG-2004-I2-H1141,Датчик давления TURCK PT5000PSIG-2004-I2-H1141,100000714,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt5000psig_2004_i2_h1141/,bdf1eca2.html
TURCK,,PT1.6R-1001-I2-H1143/X,Датчик давления TURCK PT1.6R-1001-I2-H1143/X,6836734,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt1_6r_1001_i2_h1143_x/,8a430630.html
TURCK,,PT9V-1008-I2-DA91/X,Датчик давления TURCK PT9V-1008-I2-DA91/X,6836059,25380,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt9v_1008_i2_da91_x/,739d5fed.html
TURCK,,PS040V-501-LI2UPN8X-H1141/3GD,Датчик давления TURCK PS040V-501-LI2UPN8X-H1141/3GD,6833845,119340,RUB,https://sensoren.ru/product/datchik_davleniya_turck_ps040v_501_li2upn8x_h1141_3gd/,bd1b9403.html
TURCK,,PS001R-303-LI2UPN8X-H1141,Датчик давления TURCK PS001R-303-LI2UPN8X-H1141,6833403,107100,RUB,https://sensoren.ru/product/datchik_davleniya_turck_ps001r_303_li2upn8x_h1141/,752dd93d.html
TURCK,,PT250R-2008-IX-H1143,Датчик давления TURCK PT250R-2008-IX-H1143,unknown_5d29c88d53b615d29c88d53b65,43200,RUB,https://sensoren.ru/product/datchik_davleniya_turck_pt250r_2008_ix_h1143/,333dd59d.html
